1.00	2.50	19.64	26.54	-112.37	152.64	-101.16	32.88	-4.16		
1.00	5.00	20.90	13.97	-80.89	117.96	-81.31	27.10	-3.48		
1.00	7.50	22.02	4.71	-59.85	96.37	-69.51	23.74	-3.08		
1.00	10.00	23.04	-2.44	-45.21	82.61	-62.43	21.78	-2.86		
1.00	12.50	23.98	-8.28	-34.40	73.41	-58.05	20.62	-2.72		
1.00	15.00	24.85	-13.25	-25.99	67.00	-55.29	19.93	-2.64		
1.00	17.50	25.67	-17.63	-19.12	62.31	-53.53	19.53	-2.60		
1.00	20.00	26.43	-21.56	-13.40	58.90	-52.50	19.35	-2.58		
1.00	22.50	27.16	-25.13	-8.49	56.35	-51.95	19.30	-2.57		
1.00	25.00	27.85	-28.36	-4.41	54.69	-51.90	19.40	-2.59		
1.20	0.00	18.16	44.28	-160.94	209.78	-135.49	43.25	-5.40		
1.20	2.50	19.57	26.76	-112.96	153.59	-101.96	33.20	-4.20		
1.20	5.00	20.81	14.83	-83.17	120.68	-83.00	27.62	-3.54		
1.20	7.50	21.92	5.99	-63.20	100.14	-71.68	24.36	-3.16		
1.20	10.00	22.93	-0.95	-49.05	86.84	-64.78	22.44	-2.93		
1.20	12.50	23.86	-6.70	-38.41	77.75	-60.42	21.27	-2.79		
1.20	15.00	24.72	-11.59	-30.18	71.52	-57.76	20.61	-2.72		
1.20	17.50	25.53	-15.92	-23.44	66.97	-56.07	20.23	-2.67		
1.20	20.00	26.29	-19.79	-17.87	63.71	-55.13	20.06	-2.66		
1.20	22.50	27.02	-23.26	-13.25	61.50	-54.78	20.08	-2.66		
1.20	25.00	27.70	-26.41	-9.40	60.11	-54.89	20.22	-2.68		
1.40	0.00	18.07	45.50	-164.78	214.79	-138.74	44.28	-5.53		
1.40	2.50	19.44	28.42	-117.80	159.59	-105.71	34.35	-4.34		
1.40	5.00	20.65	16.92	-89.08	127.77	-87.30	28.91	-3.69		
1.40	7.50	21.73	8.45	-70.04	108.20	-76.47	25.78	-3.32		
1.40	10.00	22.73	1.78	-56.53	95.51	-69.86	23.91	-3.10		
1.40	12.50	23.64	-3.73	-46.47	87.02	-65.80	22.82	-2.97		
1.40	15.00	24.50	-8.45	-38.70	81.26	-63.38	22.21	-2.90		
1.40	17.50	25.30	-12.56	-32.55	77.40	-62.08	21.94	-2.87		
1.40	20.00	26.05	-16.23	-27.50	74.74	-61.48	21.88	-2.86		
1.40	22.50	26.76	-19.45	-23.65	73.46	-61.69	22.05	-2.88		
1.40	25.00	27.44	-22.34	-20.56	72.97	-62.33	22.35	-2.92		
1.60	0.00	17.90	48.81	-175.37	228.40	-147.34	46.94	-5.86		
1.60	2.50	19.21	32.34	-129.71	174.42	-114.86	37.13	-4.67		
1.60	5.00	20.37	21.35	-102.16	143.73	-96.98	31.81	-4.03		
1.60	7.50	21.42	13.28	-84.01	125.01	-86.55	28.76	-3.67		
1.60	10.00	22.39	6.96	-71.40	113.25	-80.43	27.02	-3.46		
1.60	12.50	23.29	1.81	-62.32	105.85	-76.98	26.09	-3.35		
1.60	15.00	24.13	-2.52	-55.59	101.28	-75.22	25.67	-3.29		
1.60	17.50	24.91	-6.21	-50.64	98.80	-74.72	25.62	-3.29		
1.60	20.00	25.65	-9.39	-47.06	97.91	-75.16	25.85	-3.31		
1.60	22.50	26.36	-12.04	-44.92	98.68	-76.57	26.37	-3.37		
1.60	25.00	27.03	-14.07	-44.51	101.52	-79.23	27.26	-3.48		
1.80	0.00	17.61	55.73	-198.00	257.67	-165.82	52.64	-6.54		
1.80	2.50	18.83	40.19	-154.35	205.48	-134.10	42.97	-5.37		
1.80	5.00	19.92	29.93	-128.42	176.26	-116.84	37.75	-4.73		
1.80	7.50	20.93	22.47	-111.74	158.98	-107.10	34.85	-4.38		
1.80	10.00	21.86	16.76	-100.65	148.85	-101.84	33.34	-4.19		
1.80	12.50	22.73	12.28	-93.43	143.56	-99.57	32.73	-4.11		
1.80	15.00	23.54	8.74	-88.98	141.65	-99.35	32.74	-4.11		
1.80	17.50	24.30	5.99	-86.81	142.48	-100.78	33.24	-4.16		
1.80	20.00	25.03	3.97	-86.76	145.86	-103.74	34.20	-4.27		
1.80	22.50	25.71	3.10	-90.20	153.53	-109.32	35.94	-4.47		
1.80	25.00	26.37	4.03	-99.22	168.13	-119.12	38.94	-4.81		
2.00	0.00	17.15	70.09	-245.46	318.91	-204.21	64.38	-7.95		
2.00	2.50	18.22	55.73	-204.12	268.48	-173.02	54.71	-6.76		
2.00	5.00	19.22	46.42	-180.14	240.87	-156.35	49.56	-6.11		
2.00	7.50	20.15	40.06	-166.14	226.30	-147.93	46.97	-5.78		
2.00	10.00	21.02	35.44	-157.93	219.24	-144.27	45.85	-5.63		
